"filename", "language", "JSON", "JavaScript", "HTML", "JavaScript JSX", "SCSS", "Markdown", "comment", "blank", "total"
"/home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/nodelist.jsx", "JavaScript JSX", 0, 0, 0, 102, 0, 0, 2, 5, 109
"/home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/toneData.jsx", "JavaScript JSX", 0, 0, 0, 572, 0, 0, 1, 53, 626
"/home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/tooltips.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/oscillator/oscillator.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 4, 54
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/oscillator/oscillator.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/detune/detune.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 0, 19, 111
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/detune/detune.scss", "SCSS", 0, 0, 0, 0, 23, 0, 0, 4, 27
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/horizontal-slider/horizontal-slider.jsx", "JavaScript JSX", 0, 0, 0, 115, 0, 0, 0, 24, 139
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/horizontal-slider/horizontal-slider.scss", "SCSS", 0, 0, 0, 0, 25, 0, 2, 8, 35
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/knob/knob.jsx", "JavaScript JSX", 0, 0, 0, 78, 0, 0, 1, 21, 100
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/knob/knob.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/phase/phase.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 4, 12
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/phase/phase.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/start-button/start-button.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 5, 18
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/start-button/start-button.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 6
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/switcheroo/switcheroo.jsx", "JavaScript JSX", 0, 0, 0, 47, 0, 0, 0, 10, 57
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/switcheroo/switcheroo.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 3, 27
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/key-selector.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 9, 48
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/key-selector.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 2, 19
