Date : 2024-02-09 13:19:47
Directory : /home/merkwur/codes/js/browser-daw
Total : 72 files,  8892 codes, 55 comments, 707 blanks, all 9654 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/clock/clock.scss                                                        | SCSS           |         12 |          0 |          0 |         12 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/curves.jsx                                                              | JavaScript JSX |         62 |          1 |         19 |         82 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/helperFunctions.js                                                      | JavaScript     |         12 |          0 |          4 |         16 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/lineCanvas.jsx                                                          | JavaScript JSX |         35 |          1 |         11 |         47 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/nodeData.jsx                                                            | JavaScript JSX |        562 |         15 |         77 |        654 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/nodelist.jsx                                                            | JavaScript JSX |        102 |          2 |          5 |        109 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/toneData.jsx                                                            | JavaScript JSX |        572 |          1 |         53 |        626 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/node-helpers/tooltips.js                                                             | JavaScript     |         17 |          0 |          5 |         22 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/oscillator/oscillator.jsx                           | JavaScript JSX |         50 |          0 |          4 |         54 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/oscillator/oscillator.scss                          | SCSS           |          0 |          0 |          1 |          1 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/detune/detune.jsx                        | JavaScript JSX |         92 |          0 |         19 |        111 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/detune/detune.scss                       | SCSS           |         23 |          0 |          4 |         27 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/horizontal-slider/horizontal-slider.jsx  | JavaScript JSX |        115 |          0 |         24 |        139 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/horizontal-slider/horizontal-slider.scss | SCSS           |         25 |          2 |          8 |         35 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/knob/knob.jsx                            | JavaScript JSX |         78 |          1 |         21 |        100 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/knob/knob.scss                           | SCSS           |          0 |          0 |          1 |          1 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/phase/phase.jsx                          | JavaScript JSX |          8 |          0 |          4 |         12 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/phase/phase.scss                         | SCSS           |          0 |          0 |          1 |          1 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/start-button/start-button.jsx            | JavaScript JSX |         13 |          0 |          5 |         18 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/start-button/start-button.scss           | SCSS           |          6 |          0 |          0 |          6 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/switcheroo/switcheroo.jsx                | JavaScript JSX |         47 |          0 |         10 |         57 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/parameters/switcheroo/switcheroo.scss               | SCSS           |         24 |          0 |          3 |         27 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/key-selector.jsx        | JavaScript JSX |         39 |          0 |          9 |         48 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/key-selector.scss       | SCSS           |         17 |          0 |          2 |         19 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/length-adjust.jsx       | JavaScript JSX |         66 |          0 |         18 |         84 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/length-adjust.scss      | SCSS           |          7 |          0 |          0 |          7 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/octave-picker.jsx       | JavaScript JSX |         45 |          0 |         14 |         59 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/octave-picker.scss      | SCSS           |         10 |          0 |          0 |         10 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport.jsx                             | JavaScript JSX |        290 |          2 |         37 |        329 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport.scss                            | SCSS           |        144 |         10 |         24 |        178 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/source-options/source-options.jsx                                  | JavaScript JSX |         82 |          0 |          8 |         90 |
| /home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/source-options/source-options.scss                                 | SCSS           |         36 |          0 |          8 |         44 |
| /home/merkwur/codes/js/browser-daw/src/index.scss                                                                                                  | SCSS           |         34 |          6 |         12 |         52 |
| /home/merkwur/codes/js/browser-daw/src/main.jsx                                                                                                    | JavaScript JSX |          7 |          0 |          2 |          9 |
| /home/merkwur/codes/js/browser-daw/vite.config.js                                                                                                  | JavaScript     |          5 |          1 |          2 |          8 |
| Total                                                                                                                                              |                |      8,892 |         55 |        707 |      9,654 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
